time_index,significant_wave_height_0,mean_absolute_period_0
1996-01-01 00:00:00+00:00,3.33619,12.1178
1996-01-01 03:00:00+00:00,3.34274,12.0932
1996-01-01 06:00:00+00:00,3.34496,12.0928
1996-01-01 09:00:00+00:00,3.33398,12.06
1996-01-01 12:00:00+00:00,3.20384,11.8218
1996-01-01 15:00:00+00:00,3.00114,11.4762
1996-01-01 18:00:00+00:00,2.79641,11.1531
1996-01-01 21:00:00+00:00,2.60769,10.8787
1996-01-02 00:00:00+00:00,2.46282,10.6716
1996-01-02 03:00:00+00:00,2.38138,10.5754
1996-01-02 06:00:00+00:00,2.33226,10.531
1996-01-02 09:00:00+00:00,2.28821,10.5026
1996-01-02 12:00:00+00:00,2.25348,10.518
1996-01-02 15:00:00+00:00,2.25818,10.6407
1996-01-02 18:00:00+00:00,2.32954,10.9059
1996-01-02 21:00:00+00:00,2.45554,11.1609
1996-01-03 00:00:00+00:00,2.66393,9.4647
1996-01-03 03:00:00+00:00,3.51081,7.0383
1996-01-03 06:00:00+00:00,3.92594,7.637
1996-01-03 09:00:00+00:00,4.00235,7.9041
1996-01-03 12:00:00+00:00,4.08011,8.867
1996-01-03 15:00:00+00:00,4.13025,10.2011
1996-01-03 18:00:00+00:00,3.98724,10.4079
1996-01-03 21:00:00+00:00,3.62512,10.3336
1996-01-04 00:00:00+00:00,3.26253,10.0544
1996-01-04 03:00:00+00:00,2.98734,9.5825
1996-01-04 06:00:00+00:00,2.84268,8.7212
1996-01-04 09:00:00+00:00,2.72536,8.3831
1996-01-04 12:00:00+00:00,2.62766,8.1784
1996-01-04 15:00:00+00:00,2.51351,8.4194
1996-01-04 18:00:00+00:00,2.46539,8.6191
1996-01-04 21:00:00+00:00,2.48506,8.8261
1996-01-05 00:00:00+00:00,2.52501,9.0808
1996-01-05 03:00:00+00:00,2.56451,9.5031
1996-01-05 06:00:00+00:00,2.60084,10.1032
1996-01-05 09:00:00+00:00,2.60939,10.5069
1996-01-05 12:00:00+00:00,2.58052,10.705
1996-01-05 15:00:00+00:00,2.50423,10.4535
1996-01-05 18:00:00+00:00,2.47991,8.321
1996-01-05 21:00:00+00:00,2.54487,6.9056
1996-01-06 00:00:00+00:00,3.03505,6.7015
1996-01-06 03:00:00+00:00,3.26065,7.0989
1996-01-06 06:00:00+00:00,3.1939,6.8311
1996-01-06 09:00:00+00:00,3.09203,6.786
1996-01-06 12:00:00+00:00,3.23509,6.7388
1996-01-06 15:00:00+00:00,3.35751,6.8061
1996-01-06 18:00:00+00:00,3.9197,7.0761
1996-01-06 21:00:00+00:00,4.13928,7.4606
1996-01-07 00:00:00+00:00,4.25129,8.0339
1996-01-07 03:00:00+00:00,4.10492,8.4227
1996-01-07 06:00:00+00:00,4.18423,7.8549
1996-01-07 09:00:00+00:00,3.99292,7.9499
1996-01-07 12:00:00+00:00,3.91795,7.8705
1996-01-07 15:00:00+00:00,3.66413,7.5803
1996-01-07 18:00:00+00:00,3.38684,7.442
1996-01-07 21:00:00+00:00,3.19077,7.4538
1996-01-08 00:00:00+00:00,3.00263,7.4961
1996-01-08 03:00:00+00:00,2.74803,8.1966
1996-01-08 06:00:00+00:00,2.63903,8.4716
1996-01-08 09:00:00+00:00,2.61074,8.9445
1996-01-08 12:00:00+00:00,2.64283,9.2885
1996-01-08 15:00:00+00:00,2.66601,9.5727
1996-01-08 18:00:00+00:00,2.69482,9.6971
1996-01-08 21:00:00+00:00,2.72053,10.1921
1996-01-09 00:00:00+00:00,2.7356,10.441
1996-01-09 03:00:00+00:00,2.70346,10.4966
1996-01-09 06:00:00+00:00,2.63053,10.4449
1996-01-09 09:00:00+00:00,2.54689,10.3618
1996-01-09 12:00:00+00:00,2.46712,10.2793
1996-01-09 15:00:00+00:00,2.38165,10.1757
1996-01-09 18:00:00+00:00,2.28575,10.0233
1996-01-09 21:00:00+00:00,2.195,9.5712
1996-01-10 00:00:00+00:00,2.21529,7.6962
1996-01-10 03:00:00+00:00,2.14645,7.5654
1996-01-10 06:00:00+00:00,2.0417,7.9694
1996-01-10 09:00:00+00:00,1.97456,8.0855
1996-01-10 12:00:00+00:00,1.8986,8.1664
1996-01-10 15:00:00+00:00,1.90938,8.4345
1996-01-10 18:00:00+00:00,2.03632,8.8942
1996-01-10 21:00:00+00:00,2.18588,9.3065
1996-01-11 00:00:00+00:00,2.28073,9.6019
1996-01-11 03:00:00+00:00,2.32685,9.828
1996-01-11 06:00:00+00:00,2.34076,9.9347
1996-01-11 09:00:00+00:00,2.36736,9.9938
1996-01-11 12:00:00+00:00,2.53214,10.2727
1996-01-11 15:00:00+00:00,2.86567,10.841
1996-01-11 18:00:00+00:00,3.10516,11.2461
1996-01-11 21:00:00+00:00,3.15065,11.3768
1996-01-12 00:00:00+00:00,3.15873,11.4462
1996-01-12 03:00:00+00:00,3.15152,11.4566
1996-01-12 06:00:00+00:00,3.07173,11.3426
1996-01-12 09:00:00+00:00,2.94137,11.1418
1996-01-12 12:00:00+00:00,2.81293,10.9245
1996-01-12 15:00:00+00:00,2.71981,10.7875
1996-01-12 18:00:00+00:00,2.68216,10.7955
1996-01-12 21:00:00+00:00,2.68823,10.8657
1996-01-13 00:00:00+00:00,2.70966,11.0021
1996-01-13 03:00:00+00:00,2.74124,11.2538
1996-01-13 06:00:00+00:00,2.79766,11.5506
1996-01-13 09:00:00+00:00,2.8629,11.8082
1996-01-13 12:00:00+00:00,2.91237,11.9089
1996-01-13 15:00:00+00:00,2.95049,11.7373
1996-01-13 18:00:00+00:00,2.9882,11.343
1996-01-13 21:00:00+00:00,3.01516,10.9725
1996-01-14 00:00:00+00:00,3.00256,10.369
1996-01-14 03:00:00+00:00,2.9707,9.4729
1996-01-14 06:00:00+00:00,2.97618,8.4028
1996-01-14 09:00:00+00:00,2.99669,7.8041
1996-01-14 12:00:00+00:00,3.07768,7.1953
1996-01-14 15:00:00+00:00,3.22247,6.9417
1996-01-14 18:00:00+00:00,3.60125,6.7995
1996-01-14 21:00:00+00:00,3.5209,6.9824
1996-01-15 00:00:00+00:00,4.33868,7.0893
1996-01-15 03:00:00+00:00,4.16609,7.7613
1996-01-15 06:00:00+00:00,4.15879,7.532
1996-01-15 09:00:00+00:00,4.03478,7.4787
1996-01-15 12:00:00+00:00,4.38259,7.6846
1996-01-15 15:00:00+00:00,4.19457,7.9206
1996-01-15 18:00:00+00:00,4.06874,7.9325
1996-01-15 21:00:00+00:00,4.14387,7.9091
1996-01-16 00:00:00+00:00,4.28765,7.9691
1996-01-16 03:00:00+00:00,4.08986,8.0155
1996-01-16 06:00:00+00:00,3.48843,8.6392
1996-01-16 09:00:00+00:00,3.25133,9.1335
1996-01-16 12:00:00+00:00,3.12843,9.37
1996-01-16 15:00:00+00:00,3.00987,9.5084
1996-01-16 18:00:00+00:00,2.8795,9.1271
1996-01-16 21:00:00+00:00,2.71674,8.9687
1996-01-17 00:00:00+00:00,2.64748,7.9056
1996-01-17 03:00:00+00:00,2.76872,7.1599
1996-01-17 06:00:00+00:00,2.69716,7.191
1996-01-17 09:00:00+00:00,2.51216,7.32
1996-01-17 12:00:00+00:00,2.54131,7.0543
1996-01-17 15:00:00+00:00,2.61535,7.1904
1996-01-17 18:00:00+00:00,2.57591,7.7183
1996-01-17 21:00:00+00:00,2.43004,8.1577
1996-01-18 00:00:00+00:00,2.27415,8.3144
1996-01-18 03:00:00+00:00,2.13562,8.386
1996-01-18 06:00:00+00:00,2.01427,8.4431
1996-01-18 09:00:00+00:00,1.90695,8.4316
1996-01-18 12:00:00+00:00,1.89335,6.9293
1996-01-18 15:00:00+00:00,1.79435,6.9791
1996-01-18 18:00:00+00:00,1.98002,5.3316
1996-01-18 21:00:00+00:00,2.87572,6.4564
1996-01-19 00:00:00+00:00,5.31501,8.2331
1996-01-19 03:00:00+00:00,7.94549,9.8111
1996-01-19 06:00:00+00:00,7.64173,10.3367
1996-01-19 09:00:00+00:00,5.42209,9.2517
1996-01-19 12:00:00+00:00,5.27083,8.856
1996-01-19 15:00:00+00:00,5.49111,8.7719
1996-01-19 18:00:00+00:00,5.27905,10.0103
1996-01-19 21:00:00+00:00,4.97225,11.0717
1996-01-20 00:00:00+00:00,4.43174,10.8091
1996-01-20 03:00:00+00:00,3.8672,10.1803
