Time,probe1,probe2,probe3
10,24.48,28.27,1.30
10.002,34.48,40.27,-8.70
10.004,30.48,38.27,-13.70
10.006,12.48,24.27,-32.70
10.008,13.48,22.27,-21.70
10.01,7.48,15.27,-13.70
10.012,4.48,13.27,-19.70
10.014,-9.52,-0.73,-11.70
10.016,8.48,19.27,-16.70
10.018,-4.52,8.27,-34.70
10.02,16.48,27.27,5.30
10.022,-13.52,-0.73,-36.70
10.024,-13.52,0.27,-39.70
10.026,-15.52,-3.73,-32.70
10.028,-22.53,-17.73,-23.70
10.03,-22.52,-16.73,16.30
10.032,-999.00,-23.73,1.30
10.034,-999.00,-16.73,11.30
10.036,-999.00,-24.73,13.30
10.038,-999.00,-13.73,23.30
10.04,-999.00,-14.73,25.30
10.046,-999.00,-11.73,33.30
10.048,-999.00,-1.73,36.30
10.05,-19.52,-10.73,28.30
10.052,-3.52,7.27,39.30
10.054,7.48,20.27,26.30
10.056,-2.52,14.27,11.30
10.058,4.48,19.27,13.30
10.06,2.48,17.27,16.30
10.062,9.48,22.27,2.30
10.064,17.48,23.27,19.30
10.066,16.48,27.27,26.30
10.068,33.48,42.27,5.30
10.07,28.48,36.27,-6.70
10.072,20.48,36.27,2.30
10.074,17.48,30.27,-7.70
10.076,11.48,23.27,-14.70
10.078,16.48,24.27,2.30
10.08,4.48,12.27,-8.70
10.082,15.48,22.27,-9.70
10.084,9.48,21.27,-15.70
10.086,-2.52,7.27,-14.70
10.088,-7.52,9.27,-31.70
10.09,3.48,17.27,-40.70
10.092,-2.52,8.27,-46.70
10.094,-13.52,-2.73,-19.70
10.096,-4.52,3.27,-13.70
10.098,-14.52,-7.73,
10.1,-18.52,-11.73,
10.102,-40.52,-22.73,
10.104,-33.52,-18.73,
10.106,-40.52,-23.73,
10.108,-34.52,-18.73,
10.11,-32.52,-27.73,
10.112,-28.52,-19.73,
10.114,-9.52,-2.73,
10.116,-29.52,-21.73,46.30
10.118,-30.52,-26.73,21.30
10.12,-27.52,-14.73,31.30
10.122,-24.52,-13.73,30.30
10.124,-26.52,-13.73,15.30
10.126,-21.52,-13.73,34.30
10.128,-24.52,-13.73,47.30
10.13,-9.52,-13.73,31.30
10.132,-9.52,-13.73,48.30
10.134,0.48,-13.73,44.30
10.136,4.48,-13.73,22.30
10.138,15.48,-13.73,10.30
10.14,4.48,-13.73,13.30
10.142,18.48,-13.73,21.30
10.144,23.48,-13.73,-1.70
10.146,20.48,-13.73,-7.70
10.148,13.48,-13.73,17.30
10.15,27.48,-13.73,-1.70
10.152,20.48,-13.73,-1.70
10.154,16.48,-13.73,-17.70
10.156,12.48,-13.73,-27.70
10.158,24.48,-13.73,-35.70
10.16,10.48,-13.73,-15.70
10.162,10.48,-13.73,-25.70
10.164,11.48,-13.73,-3.70
10.166,3.48,-13.73,-25.70
10.168,-14.52,-13.73,-24.70
10.17,-5.52,-13.73,-24.70
10.172,-7.52,-13.73,-24.70
10.174,-13.52,-13.73,-42.70
10.176,-13.52,-13.73,-19.70
10.178,-20.52,-11.73,-8.70
10.18,-11.52,-10.73,-21.70
10.182,-27.52,-22.73,2.30
10.184,-28.52,-21.73,17.30
10.186,-29.52,-17.73,11.30
10.188,-28.52,-17.73,0.30
10.19,-41.52,-30.73,30.30
10.192,-35.52,-26.73,18.30
10.194,-33.52,-26.73,10.30
10.196,-20.52,-17.73,33.30
10.198,-17.52,-11.73,29.30
10.2,-10.52,-8.73,49.30
10.202,4.48,13.27,28.30
10.204,2.48,12.27,25.30
10.206,0.48,14.27,21.30
10.208,-7.52,3.27,
10.21,-6.52,1.27,
10.212,16.48,19.27,18.30
10.214,9.48,16.27,19.30
10.216,12.48,19.27,26.30
10.218,24.48,31.27,14.30
10.22,20.48,31.27,-3.70
10.222,18.48,31.27,-0.70
10.224,15.48,27.27,13.30
10.226,30.48,34.27,-11.70
10.228,16.48,23.27,-15.70
10.288,28.48,36.27,5.30
10.23,26.48,23.27,-0.70
10.232,23.48,28.27,8.30
10.234,13.48,16.27,-36.70
10.236,1.48,8.27,-17.70
10.238,16.48,23.27,-24.70
10.24,-7.52,4.27,-50.70
10.242,-12.52,-2.73,-21.70
10.244,-2.52,1.27,-4.70
10.246,-6.52,-9.73,-19.70
10.248,-17.52,-16.73,-21.70
10.25,-12.52,-13.73,1.30
10.252,-22.52,-17.73,0.30
10.254,-24.52,-21.73,-20.70
10.256,-38.52,-30.73,21.30
10.258,-34.52,-24.73,10.30
10.26,-22.52,-18.73,30.30
10.262,-24.52,-24.73,21.30
10.264,-25.52,-23.73,42.30
10.266,-18.52,-16.73,15.30
10.268,-20.52,-19.73,17.30
10.27,-29.52,-26.73,23.30
10.272,-21.52,-18.73,26.30
10.274,-3.52,5.27,30.30
10.276,4.48,7.27,34.30
10.278,5.48,8.27,45.30
10.28,7.48,7.27,44.30
10.282,26.48,24.27,22.30
10.284,17.48,16.27,9.30
10.286,23.48,24.27,5.30
10.29,33.48,35.27,-9.70
10.292,28.48,30.27,-0.70
10.294,31.48,32.27,1.30
10.296,19.48,20.27,-4.70
10.298,18.48,15.27,-12.70
10.3,7.48,9.27,-14.70
10.302,8.48,8.27,-25.70
10.304,10.48,13.27,-24.70
10.306,12.48,16.27,-25.70
10.308,8.48,14.27,-39.70
10.31,4.48,11.27,-34.70
10.312,17.48,16.27,-23.70
10.314,1.48,-6.73,-23.70
10.316,-2.52,-1.73,-28.70
10.318,-9.52,-3.73,-19.70
10.32,-13.52,-14.73,-28.70
10.322,-17.52,-11.73,-11.70
10.324,-19.52,-15.73,-11.70
10.326,-19.52,-16.73,-14.70
10.328,-13.52,-15.73,-4.70
10.33,-11.52,-13.73,17.30
10.332,-19.52,-19.73,13.30
10.334,-14.52,-15.73,18.30
10.336,-20.52,-18.73,23.30
10.338,-25.52,-22.73,10.30
10.34,-24.52,-18.73,10.30
10.34,-24.52,-18.73,10.30
10.342,-21.52,-19.73,-3.70
10.344,-34.52,-29.73,16.30
10.346,-21.52,-22.73,33.30
10.348,0.48,-3.73,39.30
10.35,-1.52,-1.73,30.30
10.352,4.48,3.27,19.30
10.354,8.48,12.27,32.30
10.356,5.48,13.27,17.30
10.358,15.48,17.27,-0.70
10.36,13.48,16.27,2.30
10.362,18.48,14.27,23.30
10.364,24.48,21.27,-0.70
